u
0.000000
0.020000
0.040000
0.060000
0.080000
0.100000
0.120000
0.140000
0.160000
0.180000
0.200000
0.220000
0.240000
0.260000
0.280000
0.300000
0.320000
0.340000
0.360000
0.380000
0.400000
0.420000
0.440000
0.460000
0.480000
0.500000
0.520000
0.540000
0.560000
0.580000
0.600000
0.620000
0.640000
0.660000
0.680000
0.700000
0.720000
0.740000
0.760000
0.780000
0.800000
0.820000
0.840000
0.860000
0.880000
0.900000
0.920000
0.940000
0.960000
0.980000
1.000000
0.980000
0.960000
0.940000
0.920000
0.900000
0.880000
0.860000
0.840000
0.820000
0.800000
0.780000
0.760000
0.740000
0.720000
0.700000
0.680000
0.660000
0.640000
0.620000
0.600000
0.580000
0.560000
0.540000
0.520000
0.500000
0.480000
0.460000
0.440000
0.420000
0.400000
0.380000
0.360000
0.340000
0.320000
0.300000
0.280000
0.260000
0.240000
0.220000
0.200000
0.180000
0.160000
0.140000
0.120000
0.100000
0.080000
0.060000
0.040000
0.020000
0.000000
-0.094108
-0.065920
-0.038493
-0.011759
0.014345
0.039873
0.064878
0.089406
0.113498
0.137194
0.160528
0.183531
0.206233
0.228659
0.250834
0.272778
0.294511
0.316051
0.337413
0.358612
0.379661
0.400570
0.421351
0.442013
0.462564
0.483011
0.503360
0.523617
0.543786
0.563871
0.583874
0.603797
0.623642
0.643408
0.663094
0.682698
0.702216
0.721643
0.740970
0.760187
0.779279
0.798227
0.817002
0.835566
0.853859
0.871792
0.889219
0.905876
0.921248
0.934171
0.941622
0.934531
0.921970
0.906962
0.890673
0.873621
0.856070
0.838168
0.820006
0.801644
0.783125
0.764477
0.745723
0.726880
0.707961
0.688977
0.669935
0.650844
0.631709
0.612535
0.593326
0.574085
0.554817
0.535523
0.516206
0.496868
0.477510
0.458136
0.438745
0.419340
0.399921
0.380491
0.361049
0.341596
0.322134
0.302664
0.283186
0.263700
0.244209
0.224711
0.205208
0.185700
0.166188
0.146672
0.127153
0.107632
0.088108
0.068583
0.049056
0.029528
0.010000
-0.187381
-0.151080
-0.116294
-0.082886
-0.050736
-0.019729
0.010234
0.039247
0.067393
0.094750
0.121386
0.147364
0.172741
0.197570
0.221898
0.245767
0.269216
0.292280
0.314990
0.337375
0.359460
0.381269
0.402822
0.424138
0.445233
0.466120
0.486813
0.507322
0.527657
0.547823
0.567827
0.587673
0.607362
0.626895
0.646270
0.665482
0.684524
0.703385
0.722050
0.740499
0.758704
0.776627
0.794217
0.811402
0.828078
0.844091
0.859206
0.873039
0.884946
0.893814
0.897786
0.894533
0.886387
0.875206
0.862109
0.847742
0.832491
0.816595
0.800211
0.783447
0.766379
0.749061
0.731536
0.713837
0.695988
0.678010
0.659921
0.641732
0.623457
0.605105
0.586683
0.568199
0.549659
0.531069
0.512433
0.493755
0.475039
0.456288
0.437505
0.418694
0.399855
0.380993
0.362108
0.343202
0.324278
0.305336
0.286379
0.267407
0.248423
0.229427
0.210420
0.191404
0.172380
0.153348
0.134310
0.115266
0.096218
0.077167
0.058113
0.039057
0.020000
-0.278991
-0.234725
-0.192715
-0.152758
-0.114671
-0.078289
-0.043460
-0.010046
0.022079
0.053026
0.082901
0.111797
0.139798
0.166983
0.193421
0.219176
0.244306
0.268862
0.292891
0.316437
0.339536
0.362224
0.384531
0.406484
0.428108
0.449424
0.470450
0.491203
0.511695
0.531938
0.551939
0.571705
0.591240
0.610542
0.629609
0.648437
0.667013
0.685323
0.703347
0.721055
0.738410
0.755360
0.771837
0.787747
0.802959
0.817290
0.830475
0.842127
0.851683
0.858355
0.861174
0.859429
0.853837
0.845368
0.834816
0.822748
0.809557
0.795510
0.780798
0.765555
0.749881
0.733852
0.717524
0.700942
0.684144
0.667156
0.650005
0.632708
0.615283
0.597744
0.580102
0.562369
0.544552
0.526661
0.508701
0.490680
0.472601
0.454472
0.436294
0.418074
0.399814
0.381517
0.363187
0.344827
0.326438
0.308024
0.289586
0.271128
0.252649
0.234154
0.215642
0.197117
0.178579
0.160030
0.141471
0.122905
0.104332
0.085753
0.067171
0.048586
0.030000
-0.368125
-0.316116
-0.267082
